no,name,date,architect,location,grade,nhle_list_entry,ngr,easting,northing,latitude,longitude,function,materials,description,how_to_date_it
51,Rievaulx Abbey,"c.1225 to 1250, abbey founded 1132, nave c.1135 to 1145","Cistercian masons, patron unknown","Rievaulx, Helmsley, North Yorkshire YO62 5LB",I,,SE 57744 84921,457744,484921,54.25747,-1.11862,Abbey ruins,"Local sandstone ashlar, roofs long gone","The eastern arm of a Cistercian abbey suppressed in 1538 and left to fall, which is why you can read its structure so clearly. The nave of the 1130s and 40s is the austere early Cistercian building, low and plain. The presbytery standing here is the rebuilding of about 1225 to 1250, three storeys of it, and it abandons Cistercian plainness completely: tall clustered piers, deeply undercut mouldings and lancet windows in tiers. The roofless state is not decay alone but deliberate stripping of the lead at the Dissolution.","Read the piers. Clustered shafts with fillets, set close and rising unbroken through the arcade, plus lancets without any bar tracery, put this in the second quarter of the thirteenth century. Cistercian work of the 1130s and 40s next door is squat, round arched and stripped of ornament, so the two phases sit side by side on one site."
52,Whitby Abbey,"c.1220 to 1250, north transept later 13th century, Anglian monastery founded 657","Benedictine masons, patron the de Percy family","Abbey Lane, Whitby, North Yorkshire YO22 4JT",I,,NZ 90418 11178,490418,511178,54.48845,-0.60770,Abbey ruins,"Local sandstone ashlar, roofless since the Dissolution","The gaunt shell of a Benedictine church on the headland above the harbour, standing on the site of the double monastery founded in 657 where Caedmon sang and the Synod of Whitby met in 664. Nothing of the Anglian house survives above ground. What you see is the thirteenth century rebuilding: a tall presbytery of three storeys with lancets in tiers, then a north transept in a slightly later and more elaborate manner. The nave fell in 1763, the central tower in 1830, and the west front was shelled by German battlecruisers in 1914.","Tiers of tall narrow lancets with no bar tracery, clustered shafts and dogtooth ornament in the mouldings are Early English, roughly 1200 to 1260. Where the tracery becomes geometrical, with circles and foiled shapes in the window head, you have moved into the later thirteenth century work."
53,Radcliffe Camera,1737 to 1749,James Gibbs for the trustees of Dr John Radcliffe,"Radcliffe Square, Oxford OX1 3BG",I,,SP 51533 06423,451533,206423,51.75360,-1.25410,Library,Headington and Burford limestone ashlar with a lead covered timber dome,"England's first round library, and the building that gives central Oxford its silhouette. Gibbs set a rusticated octagonal base under a circular upper storey ringed with paired Corinthian columns, then a balustrade, then a lead dome on a drum. It is a Baroque composition built at a moment when fashionable London had already moved on to cool Palladian correctness, which is why it feels theatrical next to Holkham or Chiswick of the same decade. The reading room inside is a single domed rotunda.","Paired columns, deep rustication and a dome on a drum are Baroque, but the crisp dry cutting and the absence of Vanbrugh's weight place this a generation later, in the 1730s and 40s. Gibbs was Scottish, Rome trained and Catholic, and stayed Baroque long after Burlington's circle had abandoned it."
54,Kensington Palace,"1689 to 1696, state apartments 1718 to 1722",Sir Christopher Wren for William III and Mary II; later work by Colen Campbell and William Benson,"Kensington Gardens, London W8 4PX",I,,TQ 25839 80100,525839,180100,51.50500,-0.18770,Royal palace,"Red and brown brick with rubbed brick dressings, Portland stone and a lead roof","Not a palace built as one, but a Jacobean merchant's house at Kensington that William III bought in 1689 because Whitehall's river air ruined his asthma. Wren wrapped pavilions round it at speed, in brick rather than stone, because the King wanted a private house and not a state one. The result is domestic in scale and materials and set the tone for English court building for a generation. The south front here carries giant brick pilasters against darker stock brick, a dentilled cornice and an attic centrepiece with urns.","Brick doing the work of a stone order, giant pilasters in rubbed red brick against browner stock, and a wooden dentilled cornice rather than a carved entablature, is the William and Mary court manner of about 1690 to 1700. Beware the windows: many of these sashes were reglazed later, so the bars are thinner than they should be for the 1690s."
55,Oxburgh Hall,"1482, remodelled 1830s and 1860s to 1870s",Built for Sir Edmund Bedingfeld; Victorian remodelling by J C Buckler and others,"Oxborough, King's Lynn, Norfolk PE33 9PS",I,,TF 74230 01180,574230,301180,52.58760,0.53330,Moated manor house,"Red brick with dark blue diaper patterning and limestone dressings, set in a moat","A moated brick manor house begun in 1482 under a licence to crenellate, and still owned by the family that built it. The gatehouse is the great survival: seven storeys of brick with polygonal turrets, a four centred arch and diaper patterning in burnt headers, built for display rather than defence at the point when brick was still an expensive imported taste in England. Much of the rest was heavily remodelled in the nineteenth century in a Tudor manner, so the house is a lesson in telling real late medieval brick from Victorian sympathy.","Late medieval brick shows dark blue diaper patterns made from over burnt headers, four centred arches, moulded brick mullions and crow stepped or shaped gables, with no classical detail anywhere. Victorian Tudor next to it is too even: machine pressed brick of uniform colour, sharp arrises and larger panes of glass."
56,SIS Building (Vauxhall Cross),1988 to 1994,Terry Farrell and Partners for the Secret Intelligence Service,"85 Albert Embankment, Vauxhall, London SE1 7TP",,,TQ 30450 78300,530450,178300,51.48750,-0.12400,Government offices,"Precast concrete cladding in a sand colour, with green tinted triple glazing and bronze anodised metalwork","Farrell's headquarters for MI6 on the south bank at Vauxhall, and the most conspicuous secret building in Britain. The massing is a stepped ziggurat, symmetrical about a central tower, with the setbacks reading as a temple platform borrowed from Mesopotamia by way of nineteen thirties cinema architecture. The green glass and sand coloured precast are chosen for effect rather than structure, and the whole thing is armoured, with blast resistant glazing and a moat like sunken perimeter. It has been blown up on screen more often than any other London building.","Stepped ziggurat massing, symmetry, coloured glass and precast panels imitating stone are Postmodernism, roughly 1985 to 1995. It is easily told from High Tech of the same years, which exposes structure and services, and from Brutalism twenty years earlier, which leaves raw concrete poured in place."
57,Pierhead Building,1897,William Frame for the Bute Dock Company,"Pierhead Street, Cardiff Bay, Cardiff CF10 4PZ",I,,ST 19270 74310,319270,174310,51.46400,-3.16300,Dock company offices,Bright red Ruabon terracotta and brick with slate roofs,"Built as the headquarters of the Bute Dock Company at the height of Cardiff's coal boom, when the city was shipping more coal than anywhere on earth. William Frame trained under William Burges and the debt shows: a French Gothic Renaissance pile in vivid red terracotta, with a hexagonal clock tower, steep slated roofs, corner turrets and a parade of moulded panels and gargoyles. The clock was known as Baby Big Ben. It survived the docks' collapse and now stands almost alone as the Victorian survivor among the new buildings of Cardiff Bay.","Machine moulded terracotta in a uniform bright red, with the same ornament repeated bay after bay, is post 1870 and usually 1880 to 1905. French Gothic detail on a commercial office, rather than a church or a town hall, points to the confident dock and railway companies of the 1890s."
58,Eilean Donan Castle,"1912 to 1932, on a castle destroyed in 1719",Reconstructed for Lieutenant Colonel John MacRae-Gilstrap; architect George Mackie Watson,"Dornie, Kyle of Lochalsh, Highland IV40 8DX",,,NG 88100 25800,188100,825800,57.27400,-5.51600,Castle,"Coursed local rubble with harling, slate roofs, concrete floors behind","The most photographed castle in Scotland and almost entirely a twentieth century building. A stronghold stood on the islet from the thirteenth century, but it was blown up by Royal Navy frigates in 1719 during the Jacobite rising and lay as a low heap of rubble for nearly two hundred years. MacRae-Gilstrap bought the island in 1911 and rebuilt from 1912 to 1932, working partly from a set of plans said to have come to a stonemason in a dream. The arched bridge is part of the reconstruction. Behind the medieval manner are concrete floors and twentieth century services.","The tells are all in the regularity. Rubble coursed too evenly, window openings of matching size marching across the wall, plate glass in every one of them and crisp square arrises on the dressings. Genuine medieval work is irregular, has very few openings and those are small, deep and unequal. If a castle looks complete and comfortable, suspect a rebuild."
59,Terrace with the Headington Shark,"c.1860 to 1880, shark installed 1986",Speculative builder unknown; shark by John Buckley for Bill Heine,"2 New High Street, Headington, Oxford OX3 7AQ",,,SP 54650 07230,454650,207230,51.76050,-1.20860,Terraced housing,"Red brick with slate roof, timber sash windows and small gabled porches","An entirely ordinary Victorian terrace in an Oxford suburb, with a seven metre fibreglass shark head first through the roof. Bill Heine had it installed on 9 August 1986, the forty first anniversary of Nagasaki, without permission. Oxford City Council fought to remove it for six years, and the case went to the Secretary of State, whose inspector ruled that the shark could stay. In 2022 the house was given Grade II listing status by the council as a building of local interest, shark included, which is the only reason most people have ever looked closely at a row like this.","Ignore the shark and read the terrace. Two storeys of red brick with segmental arches over the openings, plain stone or brick cills, a low pitched slate roof and paired sashes are the speculative builder's standard from the 1860s onward. Once the glazing bars have gone from the sashes, leaving one or two panes, you are after about 1855."
60,Trellick Tower,1968 to 1972,Ernő Goldfinger for the Greater London Council,"Golborne Road, Kensal Town, London W10 5PL",II*,,TQ 24140 82190,524140,182190,51.52410,-0.20580,Housing tower block,"Board marked in situ and precast reinforced concrete, thirty one storeys","Goldfinger's last and largest building, and the twin of his earlier Balfron Tower in Poplar. The plan separates living from servicing completely: flats in the slab, and lifts, stairs, rubbish chutes and the boiler house in a detached tower linked by bridges every third floor, which lets the flats run through the building and get light from both sides. It was vandalised and feared through the 1980s, listed in 1998, and is now sought after. The top of the service tower holds the boiler house, which is why the silhouette is so odd.","Board marked concrete left raw, a service tower held away from the slab and joined by bridges, and deep recessed balconies are British Brutalism of roughly 1965 to 1975. Fifties towers are lighter and thinner with tiled or rendered panels; eighties towers hide their concrete behind cladding or brick."
61,"Norfolk and Suffolk Terraces, University of East Anglia",1962 to 1968,Sir Denys Lasdun for the University of East Anglia,"University Drive, Norwich, Norfolk NR4 7TJ",II*,,TG 19300 06200,619300,306200,52.62220,1.24100,Student residences,Precast and in situ reinforced concrete with continuous glazing to the stepped terraces,"Student residences stepped down the valley of the Yare in a zigzag section, universally known as the Ziggurats. Each study bedroom gets its own terrace from the step of the one below, and the breakfast rooms sit in the projecting glazed prows. Lasdun called his approach architecture as strata and landscape, and it is the same idea he took to the National Theatre a few years later, worked out here first. The service towers rising above the terraces carry the stairs and plant.","A stepped section where every floor is set back to make a terrace, in raw concrete with continuous glazing along each step, is British Brutalism of about 1960 to 1972. Lasdun's work is recognisably horizontal, built up in layers rather than composed as towers, which sets it apart from the point blocks of the same years."
