no,name,date,architect,location,grade,nhle_list_entry,ngr,easting,northing,latitude,longitude,materials,description,how_to_date_it
1,"The White Tower, Tower of London",c.1078 to c.1100,"Attributed to Gundulf, Bishop of Rochester, for William the Conqueror","Tower of London, Tower Hill, London EC3N 4AB",I,1260258,TQ 33617 80548,533617,180548,51.50807,-0.07606,"Kentish ragstone rubble with Caen stone dressings, much refaced in Portland stone from the 1630s onward and through the eighteenth century","The great keep of the Tower of London and the most complete surviving example of Norman military building in England. Three storeys over a basement, with walls up to 4.6 metres thick at the base, three square corner turrets and one round one carrying the spiral stair. Within it survives the Chapel of St John the Evangelist, tunnel vaulted, aisled and galleried, with heavy cushion capitals and no carved ornament at all. Its scale was a deliberate statement of conquest, visible from the river and from the Saxon city it was planted beside.","Read the wall thickness and the pilaster buttresses that die into the wall rather than stepping. Cushion capitals and plain square abaci mean pre-1100. The large sash-like openings are later refenestration, mostly of the late seventeenth century, not original."
2,Durham Cathedral,1093 to 1133,"Begun for Bishop William of St Calais, continued under Ranulf Flambard","The College, Durham, County Durham DH1 3EH",I,1161023,NZ 27360 42144,427360,542144,54.77347,-1.57622,Local Coal Measures sandstone ashlar,"The most important Romanesque building in Britain and one of the most important in Europe. Its nave carries the earliest large scale pointed rib vault anywhere, completed by 1133, which lets the builders span an oblong bay and effectively begins the structural logic that becomes Gothic. The alternating system of compound piers and vast cylindrical drums is the signature: the drums are incised with chevron, lozenge, fluting and spiral patterns, cut once the stone was in place. The Galilee Chapel of about 1175 adds slender Transitional shafts and waterleaf capitals at the west end.","Incised geometric drums, chevron arch orders and cushion capitals are firmly late eleventh to early twelfth century. Pointed transverse arches sitting inside an otherwise round arched building signal the 1130s vault, not later Gothic work."
3,Ely Cathedral,"1083 onward, Octagon 1322 to 1340","Begun by Abbot Simeon; Octagon devised by Alan of Walsingham, timber lantern by William Hurley","The College, Ely, Cambridgeshire CB7 4DL",I,1331690,TL 54046 80281,554046,280281,52.39887,0.26275,"Barnack limestone with Purbeck marble shafting, oak lantern sheathed in lead","A Norman abbey church whose crossing tower collapsed in 1322 and was replaced by the most audacious piece of medieval engineering in England. The Octagon spreads the load onto eight piers, and above it William Hurley, the king's carpenter, built a timber lantern weighing around 400 tonnes that appears to float. The nave remains Romanesque, twelve bays of it, with a west tower and transept of about 1170 to 1190 and a richly shafted Galilee porch of 1198 to 1215. The Lady Chapel of 1321 to 1349 has the widest medieval vault in England.","Nave: round arches, flat buttresses, plain scallop capitals, so twelfth century. Octagon and Lady Chapel: ogee arches, nodding canopies and flowing curvilinear tracery, which places them squarely in the Decorated phase of about 1320 to 1350."
4,Castle Rising Castle,c.1138 to 1140,"Built for William d'Albini II, mason unknown","Castle Rising, near King's Lynn, Norfolk PE31 6AH",I,1077599,TF 66576 24554,566576,324554,52.79284,0.469,Local carstone and flint rubble with Barnack limestone ashlar facing,"A hall keep rather than a tower keep, low and broad, set inside enormous earthworks that are as much of the display as the building. The showpiece is the forebuilding, a covered ceremonial stair rising to the first floor entrance, its walls covered in blind arcading and chevron and its vestibule ribbed and shafted with real richness. The keep is a status object for a rising Norman family rather than a serious fortress, and the earth ramparts around it were probably designed to be seen from a distance as much as to be defended.","Blind intersecting arcading, chevron and billet mouldings, and cushion or early scallop capitals put it firmly in the second quarter of the twelfth century. Broad low proportions rather than tower height distinguish a hall keep from an earlier donjon."
5,Wells Cathedral,"c.1175 to 1310, west front c.1220 to 1260","Adam Lock and others; west front sculpture under Thomas Norreys; scissor arches by William Joy, 1338 to 1348","Cathedral Green, Wells, Somerset BA5 2UE",I,1382901,ST 55148 45885,355148,145885,51.2104,-2.64347,Doulting oolitic limestone with blue lias and Purbeck marble,"The first English cathedral designed from the outset in the Gothic style, with no Romanesque compromise anywhere in the elevation. The nave uses a strongly horizontal three storey design with deeply undercut stiff leaf capitals, foliage carved as though it grew out of the bell of the capital. The west front is a screen rather than a facade, originally holding around 400 figures, of which some 300 survive, and it was designed to be sung through from concealed passages. The scissor arches under the crossing were inserted in the 1330s to stop the new tower from sinking, and are pure structural improvisation.",Stiff leaf foliage without naturalistic species identification means roughly 1190 to 1250. Lancets without tracery date the earliest work; the crossing scissor arches are Decorated intrusions and read as visibly later than everything around them.
6,Salisbury Cathedral,"1220 to 1258, spire c.1310 to 1330",Elias of Dereham and Nicholas of Ely,"The Close, Salisbury, Wiltshire SP1 2EJ",I,1023581,SU 14302 29533,414302,129533,51.06496,-1.79728,"Chilmark limestone with Purbeck marble shafts, lead covered timber spire frame","Almost unique among English cathedrals in being built to one design in one campaign on a virgin site, which makes it the textbook example of Early English Gothic. The elevation is austere and linear: tall lancets, no tracery, dark Purbeck marble shafts set against pale Chilmark stone for contrast, and a strong horizontal emphasis. The spire, added around 1310 to 1330, is the tallest in Britain at 123 metres, and its weight has visibly bent the crossing piers. The detached cloister of the 1260s is the largest in England, and the octagonal chapter house is among the biggest.","Uniform lancet windows with no bar tracery anywhere is the giveaway for 1220 to 1260. The spire, which uses bar tracery and ballflower ornament at its base, is obviously a later addition once you look at the join."
7,Westminster Abbey,1245 onward; Henry VII Chapel 1503 to 1512; west towers 1722 to 1745,"Henry of Reyns, then John of Gloucester and Robert of Beverley; west towers designed by Nicholas Hawksmoor and completed after his death by John James","20 Deans Yard, Westminster, London SW1P 3PA",I,1291494,TQ 30082 79490,530082,179490,51.49939,-0.12736,"Reigate and Caen stone, later Portland stone; Purbeck marble shafting","Henry III's rebuilding of the Confessor's abbey as a coronation church and royal mausoleum, and the most French building in England. It has an apse with radiating chapels, bar tracery imported almost immediately from Reims and Amiens, and at 31 metres the tallest Gothic vault in the country. The Henry VII Lady Chapel at the east end is the opposite pole of the same tradition: a Perpendicular casket with a pendant fan vault whose stone cones hang free of any visible support. The west towers are Hawksmoor's, Gothic in outline but classical in proportion.","French plan plus early bar tracery equals 1245 to 1270. The Lady Chapel's pendant fan vault and panelled wall surfaces mean about 1500. The west towers, too regular and too crisply cut, are eighteenth century Gothic Survival."
8,Exeter Cathedral,Norman towers c.1114 to 1133; rebuilt c.1275 to 1360,"Master masons Roger, William Luve, Thomas of Witney and William Joy","1 The Cloisters, Exeter, Devon EX1 1HS",I,1333352,SX 92115 92550,292115,92550,50.72253,-3.52975,Salcombe stone with Beer stone for carving and Purbeck marble shafts,"The finest Decorated Gothic interior in England, and the only major English cathedral with its towers over the transepts rather than the crossing, a Norman survival from the earlier church. The nave and choir carry the longest uninterrupted medieval vault in the world at around 96 metres, its eleven ribs per springing fanning out so densely that the effect is of an avenue of palm trees. Look for the bishop's throne of 1312 to 1316, a 18 metre oak canopy built without nails, and the minstrels' gallery with its fourteen carved angel musicians.","Tierceron vaulting with a ridge rib, curvilinear tracery and ballflower ornament in the mouldings all point to about 1290 to 1350. The two transeptal towers with blind arcading are the surviving Norman fabric of the 1110s to 1130s."
9,Stokesay Castle,"c.1285 to 1305, gatehouse 1640 to 1641","Built for Laurence of Ludlow, wool merchant; mason unknown","Stokesay, Craven Arms, Shropshire SY7 9AH",I,1269939,SO 43561 81695,343561,281695,52.43031,-2.83151,Local sandstone rubble with ashlar dressings; oak timber framed gatehouse and upper stages,"The best preserved fortified manor house in England, built by a wool merchant rather than a baron, which is exactly what makes it valuable. The great hall retains its original open timber roof, its thirteenth century window shutters and a wooden staircase of about 1290, all rare survivals. The crenellations are largely for show, licensed in 1291, and the moat was ornamental. The timber framed gatehouse is a Jacobean addition of 1640 to 1641, with lively carved figures, and the contrast between the two builds is a lesson in reading phases on one site.","Cusped lancets and plate tracery in the hall, plus a roof of crucks and tie beams without wind bracing, indicate the late thirteenth century. The close studded, jettied and carved gatehouse is unmistakably seventeenth century."
10,Gloucester Cathedral,Nave 1089 to 1121; choir remodelled 1337 to 1360; cloister c.1351 to 1412,"Norman work under Abbot Serlo; choir remodelling attributed to a royal mason, possibly William Ramsey's circle","12 College Green, Gloucester GL1 2LX",I,1245952,SO 83121 18778,383121,218778,51.86732,-2.24654,Oolitic limestone from Painswick and the Cotswolds,"The birthplace of the Perpendicular style. The Norman nave, with its immense cylindrical piers, was left intact while the choir was cased in a cage of vertical stone panelling in the 1330s and 1340s, paid for by pilgrims visiting the tomb of Edward II. The Great East Window of about 1350 is the size of a tennis court and was the largest in the world when built. The cloister carries the earliest true fan vaulting anywhere, begun about 1351, and it changes English architecture for the next 200 years.","If Norman piers are visible behind a screen of thin vertical mullions running unbroken from floor to vault, you are looking at a Perpendicular recasing of about 1330 to 1360. Fan vaulting before 1360 only exists here."
